Unnamed: 0,Flow ID, Source IP, Destination IP, Source Port, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length.1,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min,SimillarHTTP, Inbound, Label
425,172.16.0.5-192.168.50.1-634-60495-17,172.16.0.5,192.168.50.1,634,60495,17,51:39.8,28415,97,0,42680,0,440,440,440,0,0,0,0,0,1502023.57909554,3413.68995248988,295.989583333333,500.959300685177,3596,1,28415,295.989583333333,500.959300685177,3596,1,0,0,0,0,0,0,0,0,0,-97,0,3413.68995248988,0,440,440,440,0,0,0,0,0,0,0,0,0,0,0,444.536082474226,440,0,-97,0,0,0,0,0,0,97,42680,0,0,-1,-1,96,-1,0,0,0,0,0,0,0,0,0,1,DrDoS_DNS
430,172.16.0.5-192.168.50.1-60495-634-17,192.168.50.1,172.16.0.5,634,60495,17,51:39.8,2,2,0,880,0,440,440,440,0,0,0,0,0,4.40E+08,1000000,2,0,2,2,2,2,0,2,2,0,0,0,0,0,0,0,0,0,-2,0,1000000,0,440,440,440,0,0,0,0,0,0,0,0,0,0,0,660,440,0,-2,0,0,0,0,0,0,2,880,0,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,0,0,DrDoS_DNS
1654,172.16.0.5-192.168.50.1-634-46391-17,172.16.0.5,192.168.50.1,634,46391,17,51:39.9,48549,200,0,88000,0,440,440,440,0,0,0,0,0,1812601.70137386,4119.54932130424,243.964824120602,578.101371496474,5418,1,48549,243.964824120602,578.101371496474,5418,1,0,0,0,0,0,0,0,0,0,-200,0,4119.54932130424,0,440,440,440,0,0,0,0,0,0,0,0,0,0,0,442.2,440,0,-200,0,0,0,0,0,0,200,88000,0,0,-1,-1,199,-1,0,0,0,0,0,0,0,0,0,1,DrDoS_DNS
2927,172.16.0.5-192.168.50.1-634-11894-17,172.16.0.5,192.168.50.1,634,11894,17,51:39.9,48337,200,0,88000,0,440,440,440,0,0,0,0,0,1820551.5443656,4137.61714628545,242.899497487437,485.292695132783,3337,1,48337,242.899497487437,485.292695132783,3337,1,0,0,0,0,0,0,0,0,0,-200,0,4137.61714628545,0,440,440,440,0,0,0,0,0,0,0,0,0,0,0,442.2,440,0,-200,0,0,0,0,0,0,200,88000,0,0,-1,-1,199,-1,0,0,0,0,0,0,0,0,0,1,DrDoS_DNS
694,172.16.0.5-192.168.50.1-634-27878-17,172.16.0.5,192.168.50.1,634,27878,17,51:39.9,32026,200,0,88000,0,440,440,440,0,0,0,0,0,2747767.43895584,6244.92599762692,160.934673366834,196.891270701761,1236,0,32026,160.934673366834,196.891270701761,1236,0,0,0,0,0,0,0,0,0,0,-200,0,6244.92599762692,0,440,440,440,0,0,0,0,0,0,0,0,0,0,0,442.2,440,0,-200,0,0,0,0,0,0,200,88000,0,0,-1,-1,199,-1,0,0,0,0,0,0,0,0,0,1,DrDoS_DNS
838,172.16.0.5-192.168.50.1-634-47149-17,172.16.0.5,192.168.50.1,634,47149,17,51:39.9,46469,200,0,88000,0,440,440,440,0,0,0,0,0,1893735.60868536,4303.944565194,233.51256281407,500.952495371723,3623,0,46469,233.51256281407,500.952495371723,3623,0,0,0,0,0,0,0,0,0,0,-200,0,4303.944565194,0,440,440,440,0,0,0,0,0,0,0,0,0,0,0,442.2,440,0,-200,0,0,0,0,0,0,200,88000,0,0,-1,-1,199,-1,0,0,0,0,0,0,0,0,0,1,DrDoS_DNS
3090,172.16.0.5-192.168.50.1-634-22713-17,172.16.0.5,192.168.50.1,634,22713,17,51:39.9,31201,200,0,88000,0,440,440,440,0,0,0,0,0,2820422.42235825,6410.05095990513,156.788944723617,185.551092036537,880,0,31201,156.788944723617,185.551092036537,880,0,0,0,0,0,0,0,0,0,0,-200,0,6410.05095990512,0,440,440,440,0,0,0,0,0,0,0,0,0,0,0,442.2,440,0,-200,0,0,0,0,0,0,200,88000,0,0,-1,-1,199,-1,0,0,0,0,0,0,0,0,0,1,DrDoS_DNS
2594,172.16.0.5-192.168.50.1-634-49912-17,172.16.0.5,192.168.50.1,634,49912,17,51:39.9,50453,200,0,88000,0,440,440,440,0,0,0,0,0,1744197.57001565,3964.08538639922,253.532663316582,663.660630148065,7649,1,50453,253.532663316582,663.660630148065,7649,1,0,0,0,0,0,0,0,0,0,-200,0,3964.08538639922,0,440,440,440,0,0,0,0,0,0,0,0,0,0,0,442.2,440,0,-200,0,0,0,0,0,0,200,88000,0,0,-1,-1,199,-1,0,0,0,0,0,0,0,0,0,1,DrDoS_DNS
2698,172.16.0.5-192.168.50.1-634-56681-17,172.16.0.5,192.168.50.1,634,56681,17,51:40.0,31008,200,0,88000,0,440,440,440,0,0,0,0,0,2837977.29618163,6449.94840041279,155.819095477386,179.512801482644,944,0,31008,155.819095477386,179.512801482644,944,0,0,0,0,0,0,0,0,0,0,-200,0,6449.94840041279,0,440,440,440,0,0,0,0,0,0,0,0,0,0,0,442.2,440,0,-200,0,0,0,0,0,0,200,88000,0,0,-1,-1,199,-1,0,0,0,0,0,0,0,0,0,1,DrDoS_DNS
277,172.16.0.5-192.168.50.1-634-13161-17,172.16.0.5,192.168.50.1,634,13161,17,51:40.0,30143,200,0,88000,0,440,440,440,0,0,0,0,0,2919417.44351922,6635.03964436187,151.472361809045,178.04218087764,945,0,30143,151.472361809045,178.04218087764,945,0,0,0,0,0,0,0,0,0,0,-200,0,6635.03964436187,0,440,440,440,0,0,0,0,0,0,0,0,0,0,0,442.2,440,0,-200,0,0,0,0,0,0,200,88000,0,0,-1,-1,199,-1,0,0,0,0,0,0,0,0,0,1,DrDoS_DNS
